id_restauracji,nazwa_restauracji,nr_telefonu,id_ulicy,id_miasta,id_menu
1,Restauracja_1,859-932-8703,131,19,19
2,Restauracja_2,158-345-9486,117,124,84
3,Restauracja_3,918-589-4759,99,135,145
4,Restauracja_4,612-640-7417,194,21,76
5,Restauracja_5,877-415-1787,32,95,167
6,Restauracja_6,118-480-0805,118,46,145
7,Restauracja_7,941-569-6925,77,62,30
8,Restauracja_8,813-697-2686,118,55,19
9,Restauracja_9,458-742-5089,180,124,186
10,Restauracja_10,693-477-2950,19,125,101
11,Restauracja_11,810-707-4731,105,125,100
12,Restauracja_12,722-552-3912,25,145,153
13,Restauracja_13,125-687-9651,37,10,184
14,Restauracja_14,550-471-3617,147,72,124
15,Restauracja_15,858-865-3047,94,138,184
16,Restauracja_16,918-388-8481,13,8,193
17,Restauracja_17,850-521-9343,23,60,123
18,Restauracja_18,967-461-7632,122,7,165
19,Restauracja_19,122-497-3558,115,143,9
20,Restauracja_20,126-686-4166,133,112,5
21,Restauracja_21,575-857-3002,151,113,12
22,Restauracja_22,696-726-4898,199,55,184
23,Restauracja_23,559-717-0816,5,47,90
24,Restauracja_24,741-949-7782,139,142,11
25,Restauracja_25,425-938-2498,107,145,157
26,Restauracja_26,126-166-3132,2,14,152
27,Restauracja_27,617-896-7378,174,98,124
28,Restauracja_28,703-556-3305,138,33,168
29,Restauracja_29,808-161-0555,136,109,68
30,Restauracja_30,159-799-4301,120,72,164
31,Restauracja_31,127-666-4586,26,95,81
32,Restauracja_32,451-367-9194,62,133,65
33,Restauracja_33,732-400-2527,103,48,181
34,Restauracja_34,979-493-2046,54,128,10
35,Restauracja_35,729-434-2748,172,29,72
36,Restauracja_36,465-703-0989,28,71,68
37,Restauracja_37,671-943-4157,75,30,82
38,Restauracja_38,729-770-1159,125,22,177
39,Restauracja_39,310-236-8999,30,33,84
40,Restauracja_40,949-823-4398,61,108,127
41,Restauracja_41,103-378-7729,75,32,16
42,Restauracja_42,835-145-2792,108,28,79
43,Restauracja_43,671-871-7617,45,72,58
44,Restauracja_44,338-972-1059,162,19,37
45,Restauracja_45,277-454-4189,81,30,23
46,Restauracja_46,268-168-2875,77,85,66
47,Restauracja_47,205-165-3355,38,16,21
48,Restauracja_48,994-772-2545,116,29,185
49,Restauracja_49,917-575-0357,118,66,171
50,Restauracja_50,590-325-1635,38,35,137
51,Restauracja_51,909-703-2863,80,35,49
52,Restauracja_52,648-625-7138,48,118,141
53,Restauracja_53,442-446-4438,163,105,41
54,Restauracja_54,474-683-6600,22,127,29
55,Restauracja_55,163-731-0683,38,4,135
56,Restauracja_56,456-313-5041,139,30,76
57,Restauracja_57,757-438-3958,24,145,168
58,Restauracja_58,274-684-2223,163,24,81
59,Restauracja_59,908-799-9342,108,145,168
60,Restauracja_60,787-906-2580,102,75,59
61,Restauracja_61,542-424-8520,114,13,85
62,Restauracja_62,760-463-1979,132,32,174
63,Restauracja_63,905-218-6021,14,48,177
64,Restauracja_64,313-299-0142,158,118,84
65,Restauracja_65,131-328-6785,107,86,58
66,Restauracja_66,281-908-4191,130,46,136
67,Restauracja_67,944-597-2033,23,86,186
68,Restauracja_68,722-341-5819,10,122,104
69,Restauracja_69,505-893-2742,94,18,175
70,Restauracja_70,540-881-3384,51,13,82
71,Restauracja_71,405-686-1192,158,147,72
72,Restauracja_72,115-532-2507,31,19,110
73,Restauracja_73,505-674-2875,25,99,182
74,Restauracja_74,526-394-9320,191,135,188
75,Restauracja_75,271-875-6585,83,85,19
76,Restauracja_76,331-228-0576,185,101,101
77,Restauracja_77,798-704-1374,52,91,85
78,Restauracja_78,415-535-2289,98,133,61
79,Restauracja_79,399-753-9869,62,93,107
80,Restauracja_80,700-718-3030,80,48,70
81,Restauracja_81,705-734-8281,63,33,105
82,Restauracja_82,256-841-7785,49,140,48
83,Restauracja_83,440-854-7410,148,29,35
84,Restauracja_84,172-579-8000,45,45,141
85,Restauracja_85,534-832-2031,189,69,113
86,Restauracja_86,681-334-3275,19,92,43
87,Restauracja_87,605-809-6458,135,21,156
88,Restauracja_88,997-392-6710,114,124,40
89,Restauracja_89,143-367-6349,176,23,71
90,Restauracja_90,336-128-8600,100,127,127
91,Restauracja_91,561-617-0595,17,147,180
92,Restauracja_92,925-428-4161,113,109,8
93,Restauracja_93,528-474-9636,89,140,193
94,Restauracja_94,376-595-0831,29,100,114
95,Restauracja_95,104-366-3277,168,48,79
96,Restauracja_96,801-918-5048,157,112,109
97,Restauracja_97,255-413-2297,186,68,27
98,Restauracja_98,704-173-7759,141,13,42
99,Restauracja_99,224-650-0206,97,70,13
100,Restauracja_100,576-786-8913,159,106,193